ApplicationName,Description,ReleaseVersion,ReleaseDate,ApplicationInputFile,ApplicationDefaultInputs
API579,API579 Fitness For Service for pipes,0.1,5/27/2020,data_manager\API579.yml,
catenary_riser,Simple and Lazy Wave catenary riser fe model. Only Orcaflex software,0.1,5/27/2020,data_manager\catenary_riser.yml,
compare_tool,"Easy comparison of files, programs, charts etc",0.1,5/27/2020,data_manager\compare_tool.yml,
design_calculations,Design Calculation template. Incomplete,0.1,5/27/2020,data_manager\design_calculations.yml,
ETL,"Extract, Transform and Load sequences, wave orcaflex files, VIV shear7 files, histogram extraction files, etc.",0.1,5/27/2020,data_manager\ETL.yml,
fatigue_analysis,"Fatigue Analysis of Wave, VIV and Combined",0.1,5/27/2020,data_manager\fatigue_analysis.yml,
finance,Finance Analysis of stocks,0.1,5/27/2020,data_manager\finance.yml,
fracture_mechanics,Fracture Mechanics per BS 7910,0.1,5/27/2020,data_manager\fracture_mechanics.yml,
log_file_analysis,Read last n lines of group of files,0.1,5/27/2020,data_manager\log_file_analysis.yml,
logic_based_text_analytics,Read last n lines of group of files,0.1,5/27/2020,data_manager\logic_based_text_analytics.yml,
oda,ODA Run depths analysis,0.1,5/27/2020,data_manager\oda.yml,
orcaflex_analysis,OrcaFlex model analysis,0.1,5/27/2020,data_manager\orcaflex_analysis.yml,
pdf_parse,Reading standard tables from readable PDFs. Move this to common.data file and implement in ETL app,0.1,5/27/2020,data_manager\pdf_parse.yml,
pipe,Pipe Capacity calculation for various codes,0.1,5/27/2020,data_manager\pipe.yml,
vertical_riser,"Vertical riser fe model generator for Drilling Risers, TTRs, completion risers etc.",0.1,5/27/2020,data_manager\vertical_riser.yml,
visualization,Vizualizations in python. Move to compare tool?,0.1,5/27/2020,data_manager\visualization.yml,
viv_analysis,"Shear7 VIV analysis, combined VIV, Current and Wave Exceedance plots",0.1,5/27/2020,data_manager\viv_analysis.yml,
ong_field_development,O&G Field Development Analysis,0.1,5/27/2020,data_manager\ong_field_development.yml,
data_models,Database models,0.1,5/27/2020,data_manager\data_models.yml,
front_end,front end design via Jinja Templates,0.1,5/27/2020,data_manager\front_end.yml,
fea_model,FEA Models for Assets,0.1,5/27/2020,data_manager\fea_model.yml,
